,tripduration,starttime,stoptime,startid,startname,endid,endname
9717,1053,9/27/2017 6:34,9/27/2017 6:51,3255,8 Ave & W 31 St,522,E 51 St & Lexington Ave
9718,601,9/27/2017 6:34,9/27/2017 6:44,3255,8 Ave & W 31 St,520,W 52 St & 5 Ave
9719,592,9/27/2017 6:35,9/27/2017 6:45,3255,8 Ave & W 31 St,536,1 Ave & E 30 St
9720,1959,9/27/2017 6:35,9/27/2017 7:08,3255,8 Ave & W 31 St,3156,E 72 St & York Ave
9721,756,9/27/2017 6:36,9/27/2017 6:49,3255,8 Ave & W 31 St,456,E 53 St & Madison Ave
9722,1318,9/27/2017 6:36,9/27/2017 6:58,3255,8 Ave & W 31 St,459,W 20 St & 11 Ave
9723,327,9/27/2017 6:37,9/27/2017 6:42,3255,8 Ave & W 31 St,2021,W 45 St & 8 Ave
9724,373,9/27/2017 6:37,9/27/2017 6:43,3255,8 Ave & W 31 St,434,9 Ave & W 18 St
9725,944,9/27/2017 6:37,9/27/2017 6:52,3255,8 Ave & W 31 St,522,E 51 St & Lexington Ave
9726,664,9/27/2017 6:37,9/27/2017 6:48,3255,8 Ave & W 31 St,513,W 56 St & 10 Ave
9727,473,9/27/2017 6:37,9/27/2017 6:45,3255,8 Ave & W 31 St,447,8 Ave & W 52 St
9728,459,9/27/2017 6:37,9/27/2017 6:45,3255,8 Ave & W 31 St,527,E 33 St & 2 Ave
9729,650,9/27/2017 6:38,9/27/2017 6:49,3255,8 Ave & W 31 St,2012,E 27 St & 1 Ave
9730,465,9/27/2017 6:40,9/27/2017 6:48,3255,8 Ave & W 31 St,514,12 Ave & W 40 St
9731,598,9/27/2017 6:41,9/27/2017 6:51,3255,8 Ave & W 31 St,456,E 53 St & Madison Ave
9732,293,9/27/2017 6:41,9/27/2017 6:46,3255,8 Ave & W 31 St,458,11 Ave & W 27 St
9733,684,9/27/2017 6:41,9/27/2017 6:53,3255,8 Ave & W 31 St,500,Broadway & W 51 St
9734,454,9/27/2017 6:42,9/27/2017 6:49,3255,8 Ave & W 31 St,435,W 21 St & 6 Ave
9735,415,9/27/2017 6:42,9/27/2017 6:49,3255,8 Ave & W 31 St,284,Greenwich Ave & 8 Ave
9736,353,9/27/2017 6:42,9/27/2017 6:48,3255,8 Ave & W 31 St,450,W 49 St & 8 Ave
9737,611,9/27/2017 6:42,9/27/2017 6:53,3255,8 Ave & W 31 St,519,Pershing Square North
9738,484,9/27/2017 6:44,9/27/2017 6:52,3255,8 Ave & W 31 St,3443,W 52 St & 6 Ave
9739,474,9/27/2017 6:44,9/27/2017 6:52,3255,8 Ave & W 31 St,116,W 17 St & 8 Ave
9740,915,9/27/2017 6:45,9/27/2017 7:00,3255,8 Ave & W 31 St,434,9 Ave & W 18 St
9741,981,9/27/2017 6:45,9/27/2017 7:02,3255,8 Ave & W 31 St,387,Centre St & Chambers St
9742,937,9/27/2017 6:46,9/27/2017 7:02,3255,8 Ave & W 31 St,3132,E 59 St & Madison Ave
9743,589,9/27/2017 6:46,9/27/2017 6:56,3255,8 Ave & W 31 St,536,1 Ave & E 30 St
9744,1403,9/27/2017 6:47,9/27/2017 7:10,3255,8 Ave & W 31 St,264,Maiden Ln & Pearl St
9745,430,9/27/2017 6:47,9/27/2017 6:54,3255,8 Ave & W 31 St,458,11 Ave & W 27 St
9746,1130,9/27/2017 6:47,9/27/2017 7:06,3255,8 Ave & W 31 St,327,Vesey Pl & River Terrace
9747,302,9/27/2017 6:47,9/27/2017 6:52,3255,8 Ave & W 31 St,458,11 Ave & W 27 St
9748,522,9/27/2017 6:48,9/27/2017 6:56,3255,8 Ave & W 31 St,423,W 54 St & 9 Ave
9749,845,9/27/2017 6:48,9/27/2017 7:02,3255,8 Ave & W 31 St,3256,Pier 40 - Hudson River Park
9750,185,9/27/2017 6:49,9/27/2017 6:52,3255,8 Ave & W 31 St,523,W 38 St & 8 Ave
9751,386,9/27/2017 6:49,9/27/2017 6:55,3255,8 Ave & W 31 St,458,11 Ave & W 27 St
9752,508,9/27/2017 6:49,9/27/2017 6:58,3255,8 Ave & W 31 St,495,W 47 St & 10 Ave
9753,429,9/27/2017 6:50,9/27/2017 6:57,3255,8 Ave & W 31 St,484,W 44 St & 5 Ave
9754,593,9/27/2017 6:50,9/27/2017 7:00,3255,8 Ave & W 31 St,524,W 43 St & 6 Ave
9755,409,9/27/2017 6:51,9/27/2017 6:58,3255,8 Ave & W 31 St,450,W 49 St & 8 Ave
